Rank,Team,Conf,Region,Seed,W-L,AdjEM,AdjO,AdjORank,AdjD,AdjDRank,AdjT,AdjTRank,Luck,LuckRank,SOSAdjEM,SOSAdjEMRank,SOSOppO,SOSOppORank,SOSOppD,SOSOppDRank,NCSOSAdjEM,NCSOSAdjEMRank
1,Gonzaga,WCC,N,1,29-1,32.53,121.4,6,88.9,3,70.1,87,0.015,148,0.22,135,105.3,153,105.1,136,0.79,144
2,Villanova,BE,N,15,27-3,29.33,123.4,3,94.1,19,64.4,321,0.018,135,9.66,24,110.7,22,101.1,37,4.84,50
3,North Carolina,ACC,N,3,25-6,27.84,122,4,94.2,20,71,58,0.011,157,11.55,11,111.8,9,100.3,18,4.42,56
4,West Virginia,B12,N,13,23-7,27.75,118.6,16,90.8,7,70.7,68,-0.057,305,8.93,35,109.4,47,100.5,23,-7.22,339
5,Louisville,ACC,N,5,23-6,27.71,117.9,22,90.1,5,68.4,180,0.01,162,11.37,12,111.7,10,100.4,19,4.75,51
6,Florida,SEC,N,11,23-6,27.57,117.4,25,89.8,4,69.2,135,-0.028,250,11.25,14,110.5,25,99.2,8,8.91,13
7,Virginia,ACC,N,7,20-9,27.22,114.1,38,86.9,1,59.1,351,-0.053,301,12.66,6,111.9,6,99.2,7,3,82
8,Kentucky,SEC,N,9,25-5,27.2,119.7,13,92.5,11,73.5,13,-0.005,200,9.48,28,110.3,28,100.8,28,4.47,54
9,Kansas,B12,N,8,27-3,26.41,121.5,5,95.1,26,70.2,82,0.088,15,11.95,8,111.1,18,99.2,6,3.33,72
10,Wichita St.,MVC,N,10,27-4,25.53,120.3,9,94.7,24,69.2,136,-0.013,222,0.56,123,105.1,159,104.5,118,0.11,168
11,Baylor,B12,N,6,24-6,25.5,117.3,27,91.8,8,63.5,339,0.01,163,12.67,5,112.2,3,99.5,10,2,114
12,Purdue,B10,N,12,24-6,24.35,118.1,21,93.8,17,69.3,116,-0.018,234,7.36,54,108.7,55,101.4,43,-1.68,216
13,UCLA,P12,N,4,26-3,24.19,125.6,1,101.4,95,73.4,16,0.02,130,4.05,79,107.7,75,103.6,93,-4.01,286
14,Saint Mary's,WCC,N,14,26-3,24.07,119.7,12,95.7,30,59.5,350,0.041,79,-1.06,175,103.9,226,105,132,-3.87,282
15,Duke,ACC,N,2,23-7,23.96,120.4,7,96.5,36,67.8,214,0.013,151,10.16,22,110.7,23,100.5,25,0.14,167
16,SMU,Amer,N,16,25-4,23.88,118.2,19,94.3,22,63.5,338,0.014,149,3.04,88,105.8,120,102.8,72,-1.07,204
17,Oregon,P12,S,1,26-4,23.44,117.6,23,94.2,21,66.7,261,0.056,56,6.35,63,108.6,60,102.2,66,0.94,139
18,Florida St.,ACC,S,15,23-7,22.96,118.3,18,95.3,27,71.4,46,0.027,114,9.25,29,111.1,19,101.8,59,-3.23,261
19,Oklahoma St.,B12,S,3,20-10,22.91,125.4,2,102.5,117,70.6,69,-0.035,264,13.51,2,111.7,11,98.2,1,3.5,70
20,Butler,BE,S,13,23-6,22.22,119.6,14,97.4,50,66.1,279,0.021,129,10.71,19,111.2,16,100.5,24,5.07,46
21,Wisconsin,B10,S,5,22-7,21.8,115.4,34,93.6,15,63.8,332,0.015,144,8.57,38,109.8,38,101.2,39,-0.27,178
22,Arizona,P12,S,11,26-4,21.49,117.2,29,95.7,31,65.3,302,0.06,50,5.42,68,107.8,72,102.3,68,1.67,122
23,Iowa St.,B12,S,7,20-9,21.26,118.5,17,97.3,46,68.3,187,-0.017,229,12.16,7,111.9,5,99.8,11,-0.36,179
24,Cincinnati,Amer,S,9,25-4,20.99,113.8,42,92.8,12,64.2,327,0.03,107,2.23,96,106.5,92,104.3,108,-0.09,172
25,Notre Dame,ACC,S,8,22-7,19.94,119,15,99.1,66,67.7,219,0.035,96,9.16,31,110.1,29,101,34,-3.74,279
26,Creighton,BE,S,10,23-7,19.91,117.2,28,97.3,48,70.9,61,0.008,169,7.68,51,110.1,30,102.4,70,-1,200
27,Michigan,B10,S,6,19-10,19.17,120.4,8,101.3,93,62.8,343,-0.037,273,8.15,43,109.3,48,101.2,38,0,169
28,South Carolina,SEC,S,12,22-8,18.21,106.3,149,88,2,68.6,165,0.015,143,8.2,41,109.5,45,101.3,41,2.25,106
29,Miami FL,ACC,S,4,20-9,17.84,111.8,55,93.9,18,64,329,0.025,121,8.73,36,110.6,24,101.8,56,-3.62,276
30,Minnesota,B10,S,14,22-7,17.07,110.1,84,93,13,69.6,106,0.016,141,7.48,52,109,51,101.6,49,-0.81,194
31,Dayton,A10,S,2,23-5,16.91,112.4,51,95.5,29,68.7,159,0.006,175,2.92,89,106.1,106,103.2,81,3.04,80
